"post_id","post","author"
"11","منتظرينكم في قاعة العرض بمصر الجديدة وخصومات من 30 الى 50 % على جميع المنتجات للاستعلام 0226786399\nاو اطلب الاوردر من الموقع Www.SAFWATOYS.com بكود المنتج المكتوب على الصوة مع امكانيه التوصيل للبيت والدفع عند الاستلام\nلمتابعة قناة التليجرام لمشاهدة صور المنتجات https://t.me/safwatoys2020\nللتواصل واتس اب 01001444798","الصفوة لتنمية المهارات"
"12","الكتب التفاعلية هي الكتب التي تحتوي على نشاطات تعمل على تطوير مهارات الطفل سواء كانت مهارات حسية ام مهارات حركية\nوبالتالي يتم تعليم الطفل دون أن يشعر بالملل ويتم ترسيخ المعلومات في ذهنة بطريقة أفضل\nيتم استخدام الكتب التفاعلية للاطفال وذلك لتعليمهم نشاطات مختلفة أو المقارنة بين اشياء مختلفة\nمثل تعليم الاطفال المقارنة بين الأشكال الهندسة وتعليمهم التمييز بين ثمار الخضار والفواكه\nاو مثلا تعليمهم التمييز بين الأرقام العربية والارقام باللغة الإنجليزية وغيرها من النشاطات المختلفة\nفوائد الكتاب التفاعلي:\n1.تنمية المهارات الدقيقة لليد\n2.التازر بين العين و اليد\n3.تنمية المفاهيم\n4.تطوير التركيز والانتباه\n5. التعرف علي الألوان والأشكال\n6.تنمية مهارات ما قبل الكتابة\nلمشاهدة الكتب التفاعليه\nhttps://safwatoys.com/index.php…","‎الصفوة لتنمية المهارات‎ is at ‎الصفوة لتنمية المهارات‎."
"13","منتظرينكم في قاعة العرض بمصر الجديدة وخصومات من 30 الى 50 % على جميع المنتجات للاستعلام 0226786399\nاو اطلب الاوردر من الموقع Www.SAFWATOYS.com بكود المنتج المكتوب على الصوة مع امكانيه التوصيل للبيت والدفع عند الاستلام\n\nلمتابعة قناة التليجرام لمشاهدة صور المنتجات https://t.me/safwatoys2020\nللتواصل واتس اب 01001444798","‎الصفوة لتنمية المهارات‎ is with Ranym Mahmoud."
"14","الكتب التفاعلية هي الكتب التي تحتوي على نشاطات تعمل على تطوير مهارات الطفل سواء كانت مهارات حسية ام مهارات حركية\nوبالتالي يتم تعليم الطفل دون أن يشعر بالملل ويتم ترسيخ المعلومات في ذهنة بطريقة أفضل\nيتم استخدام الكتب التفاعلية للاطفال وذلك لتعليمهم نشاطات مختلفة أو المقارنة بين اشياء مختلفة\nمثل تعليم الاطفال المقارنة بين الأشكال الهندسة وتعليمهم التمييز بين ثمار الخضار والفواكه\nاو مثلا تعليمهم التمييز بين الأرقام العربية والارقام باللغة الإنجليزية وغيرها من النشاطات المختلفة\nفوائد الكتاب التفاعلي:\n1.تنمية المهارات الدقيقة لليد\n2.التازر بين العين و اليد\n3.تنمية المفاهيم\n4.تطوير التركيز والانتباه\n5. التعرف علي الألوان والأشكال\n6.تنمية مهارات ما قبل الكتابة\nلمشاهدة الكتب التفاعليه\nhttps://safwatoys.com/index.php…","‎الصفوة لتنمية المهارات‎ is at ‎الصفوة لتنمية المهارات‎."
"15","الكتب التفاعلية هي الكتب التي تحتوي على نشاطات تعمل على تطوير مهارات الطفل سواء كانت مهارات حسية ام مهارات حركية\nوبالتالي يتم تعليم الطفل دون أن يشعر بالملل ويتم ترسيخ المعلومات في ذهنة بطريقة أفضل\nيتم استخدام الكتب التفاعلية للاطفال وذلك لتعليمهم نشاطات مختلفة أو المقارنة بين اشياء مختلفة\nمثل تعليم الاطفال المقارنة بين الأشكال الهندسة وتعليمهم التمييز بين ثمار الخضار والفواكه\nاو مثلا تعليمهم التمييز بين الأرقام العربية والارقام باللغة الإنجليزية وغيرها من النشاطات المختلفة\nفوائد الكتاب التفاعلي:\n1.تنمية المهارات الدقيقة لليد\n2.التازر بين العين و اليد\n3.تنمية المفاهيم\n4.تطوير التركيز والانتباه\n5. التعرف علي الألوان والأشكال\n6.تنمية مهارات ما قبل الكتابة\nلمشاهدة الكتب التفاعليه\nhttps://safwatoys.com/index.php…","‎الصفوة لتنمية المهارات‎ is at ‎الصفوة لتنمية المهارات‎."
"16","عرائس قفازية لعمل مسرح العرائس بها اكثر من شخصيه واكثر من حجم وسيله مناسبه ينجذب جدا لها الطفل\n\nتستخدم في الالعاب التمثيليه تنمي عند الطفل تقمص الادوار واشباع الحاجه الي المغامره وتنمي التخيل وتساعد علي معرفه طبيعه المواد كما تقوي اعصاب اليد والاصابع والعضلات الدقيقه وتستطيع الام ان توصل بها اي معلومه او سلوك عن طريق قصه بالعروسه كما تساعد الطفل علي التعبير عن رايه وذاته وتنمي الابداع والثروه اللغويه عند الطفل\n\nمناسبه لسن 3 سنوات\nلمشاهدة الاشكال و الاسعار بعد الخصم اضغط الرابط\nhttps://safwatoys.com/search…\n\nلمتابعة قناة التليجرام لمشاهدة صور المنتجات https://t.me/safwatoys2020\n\nللتواصل واتس اب 01001444798","‎الصفوة لتنمية المهارات‎ is with ‎سعيد عبد السلام خيرالله‎."
"17","خصم على جميع اشكال المبتكر الصغير\nمتوفر الان اكثر من 50 شكل 500 جرام و 50 شكل 200 جرام و40 شكل 350 جرام\n\n200 جرام سعر للقطاعي 21 جنيه بدلا من 30 جنيه وبسعر جمله 13.5 جنيه\n350 جرام بسعر للقطاعي 33.5 جنيه بدلا من 48 جنيه وبسعر جمله 21.5 جنيه\n400 جرام بسعر للقطاعي 42 جنيه بدلا من 60 جنيه وبسعر جمله 27 جنيه\n500 جرام بسعر للقطاعي 47.5 جنيه بدلا من 68 جنيه وبسعر جمله 30.5 جنيه\n\nلمشاهدة جميع الاشكال و الطلبات\nhttps://safwatoys.com/search…","الصفوة لتنمية المهارات"
"18","كتب تطوير الطاقة الكامنة يعنى إيه\nتعتبر مجموعة كتب تطوير الطاقة الكامنة مجموعة دراسية شاملة للتعليم والتى تعمل على تنمية الذكاء والطاقات الكامنة لدى الطفل وقام بتأليفها وتصميمها نخبة من علماء الأطفال التربويين طبقاً لأحدث المعايير التربوية العالمية وهى موجهة لتنمية عقول الأطفال فى هذه المرحلة العمرية الهامة وذلك من خلال التمارين والألعاب المسلية الموجودة داخل الكتب تم وضع الكتب بمستويات مختلفة فكل مرحلة عمرية تحتوى على 18 كتاب تدرس للطفل على مدار عام كامل\nمين يقدر يستعملها بقا\nلحضانات ومراكز تنمية مهارات\nلكل أم بتربى اولادها وعايزة تنمى مهاراتهم حتى لو بيروحوا حضانة.\nللامهات اللى بتعلم أولادها تعليم منزلى أو تعليم موازى\nالمجموعه مهمه جدا ومفيده جدا للاطفال بشكل عام\n\nمتوفر الاتى https://safwatoys.com/search?search=W63&limit=100\nلمتابعة قناة التليجرام لمشاهدة صور المنتجات https://t.me/safwatoys2020\nللتولصل واتس اب 01001444798","الصفوة لتنمية المهارات"
"19","اجهزة جسم الانسان فوم فك وتركيب وعربي و انجليزي يشمل المخ والاذن والكليتين والفم والراس\n\nيتعرف الطفل علي شكل الاجهزة واسماء اجزاءها ووظيفه كل جزء واماكنها ثم يقوم بفكها وتركيبها\n\nكما انها تنمي عضلاته الدقيقه وتنمي مهاره الفك والتركيب وتزيد من تركيزه وتنمي الجانب المعرفي في تعليم الاجهزة الجسم\n\nمناسب لسن 5 سنوات\nللطلبات و الاسعار بعد الخصم https://safwatoys.com/index.php…\n\nلمتابعة قناة التليجرام لمشاهدة صور المنتجات https://t.me/safwatoys2020\nللتواصل واتس اب 01001444798","الصفوة لتنمية المهارات"
"20","الكتب التفاعلية هي الكتب التي تحتوي على نشاطات تعمل على تطوير مهارات الطفل سواء كانت مهارات حسية ام مهارات حركية\nوبالتالي يتم تعليم الطفل دون أن يشعر بالملل ويتم ترسيخ المعلومات في ذهنة بطريقة أفضل\nيتم استخدام الكتب التفاعلية للاطفال وذلك لتعليمهم نشاطات مختلفة أو المقارنة بين اشياء مختلفة\nمثل تعليم الاطفال المقارنة بين الأشكال الهندسة وتعليمهم التمييز بين ثمار الخضار والفواكه\nاو مثلا تعليمهم التمييز بين الأرقام العربية والارقام باللغة الإنجليزية وغيرها من النشاطات المختلفة\nفوائد الكتاب التفاعلي:\n1.تنمية المهارات الدقيقة لليد\n2.التازر بين العين و اليد\n3.تنمية المفاهيم\n4.تطوير التركيز والانتباه\n5. التعرف علي الألوان والأشكال\n6.تنمية مهارات ما قبل الكتابة\nلمشاهدة الكتب التفاعليه\nhttps://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"21","الكتب التفاعلية هي الكتب التي تحتوي على نشاطات تعمل على تطوير مهارات الطفل سواء كانت مهارات حسية ام مهارات حركية\nوبالتالي يتم تعليم الطفل دون أن يشعر بالملل ويتم ترسيخ المعلومات في ذهنة بطريقة أفضل\nيتم استخدام الكتب التفاعلية للاطفال وذلك لتعليمهم نشاطات مختلفة أو المقارنة بين اشياء مختلفة\nمثل تعليم الاطفال المقارنة بين الأشكال الهندسة وتعليمهم التمييز بين ثمار الخضار والفواكه\nاو مثلا تعليمهم التمييز بين الأرقام العربية والارقام باللغة الإنجليزية وغيرها من النشاطات المختلفة\nفوائد الكتاب التفاعلي:\n1.تنمية المهارات الدقيقة لليد\n2.التازر بين العين و اليد\n3.تنمية المفاهيم\n4.تطوير التركيز والانتباه\n5. التعرف علي الألوان والأشكال\n6.تنمية مهارات ما قبل الكتابة\n\nلمشاهدة الكتب والفيديوهات\nhttps://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"22","الكتب التفاعلية هي الكتب التي تحتوي على نشاطات تعمل على تطوير مهارات الطفل سواء كانت مهارات حسية ام مهارات حركية\nوبالتالي يتم تعليم الطفل دون أن يشعر بالملل ويتم ترسيخ المعلومات في ذهنة بطريقة أفضل\nيتم استخدام الكتب التفاعلية للاطفال وذلك لتعليمهم نشاطات مختلفة أو المقارنة بين اشياء مختلفة\nمثل تعليم الاطفال المقارنة بين الأشكال الهندسة وتعليمهم التمييز بين ثمار الخضار والفواكه\nاو مثلا تعليمهم التمييز بين الأرقام العربية والارقام باللغة الإنجليزية وغيرها من النشاطات المختلفة\nفوائد الكتاب التفاعلي:\n1.تنمية المهارات الدقيقة لليد\n2.التازر بين العين و اليد\n3.تنمية المفاهيم\n4.تطوير التركيز والانتباه\n5. التعرف علي الألوان والأشكال\n6.تنمية مهارات ما قبل الكتابة\nلمشاهدة الكتب التفاعليه\nhttps://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"23","عرائس بها اكثر من شخصيه وسيله مناسبه ينجذب جدا لها الطفل\n\nتستخدم في الالعاب التمثيليه تنمي عند الطفل تقمص الادوار واشباع الحاجه الي المغامره\n\nوتنمي التخيل وتساعد علي معرفه طبيعه المواد وتستطيع الام ان توصل بها اي معلومه او سلوك عن طريق قصه بالعروسه\n\nكما تساعد الطفل علي التعبير عن رايه وذاته وتنمي الابداع والثروه اللغويه عند الطفل\n\nمناسبه لسن 3 سنوات\n\nلمشاهدة الاشكال و الطلبات اضغط الرابط\nhttps://safwatoys.com/index.php…","الصفوة لتنمية المهارات"
"24","عرائس قفازيه مستورد فرو W61-1\n\nعرائس قفازية لعمل مسرح العرائس بها اكثر من شخصيه واكثر من حجم وسيله مناسبه ينجذب جدا لها الطفل\n\nتستخدم في الالعاب التمثيليه تنمي عند الطفل تقمص الادوار واشباع الحاجه الي المغامره\n\nوتنمي التخيل وتساعد علي معرفه طبيعه المواد كما تقوي اعصاب اليد والاصابع والعضلات الدقيقه\n\nوتستطيع الام ان توصل بها اي معلومه او سلوك عن طريق قصه بالعروسه كما تساعد الطفل علي التعبير عن رايه وذاته\n\nوتنمي الابداع والثروه اللغويه عند الطفل\n\nمناسبه لسن 3 سنوات\n\nللطلبات ومشاهدة الاشكال\nhttps://safwatoys.com/index.php…\n\nلمتابعة قناة التليجرام لمشاهدة صور المنتجات https://t.me/safwatoys2020\n\nلمتابعة قناة اليوتيوب لمشاهدة الفيديوهات https://www.youtube.com/c/safwaatoys\n\nللتواصل مع الإداره والحسابات واتس آب 01001444798","‎الصفوة لتنمية المهارات‎ is at ‎الصفوة لتنمية المهارات‎."
"25","جبرنا الفترة الحالية على قضاء أوقات طويلة في المنزل مع العائلة أو مع الأصدقاء. وبعد فترة نشعر بالملل بالتأكيد ونحتاج لأفكار جديدة لتحسين المزاج. لذلك فكرة الألعاب الجماعية المنزلية أمر رائع ومُميز، إليكِ الكثير من الألعاب الجماعية التي ستُناسب مختلف الأعمار وستكون متنوعة أيضا\nالتي يُمكن مُشاركتها مع افراد العائلة، ويتطلب لعبها تعاون عدّة لاعبين معاً، وعندها يستفيد اللاعبون من مهارات بعضهم، ويجتهدون في تطوير وتنمية قدراتهم الشخصيّة، إضافةً للحماس والمتعة التي يُضفيها التعاون على اللعبة، والتي تتنوّع وتحتوي على أفكار جديدةٍ ومميّزة\nوالآن حان وقت اللعب...خصم 30 % علىى جميع الالعاب الجماعيه\nلزيارة الموقع الالكتروني للشركة ومشاهدة مزيد من المنتجات\n\nللتواصل واتس اب 01001444798\nجمله وقطاعي\nلمشاهدة المنتجات\nhttps://safwatoys.com/…/%D8%A7%D9%84%D8%B9%D8%A7%D8%A8%20%D…","الصفوة لتنمية المهارات"
"26","متوفر الان مجموعه كبيره من مجسمات الفاكهه والخضروات البلاستيك و الفوم\nمجسمات الحيونات الاليفة و الغابه و البحريه و الحشرات و الزواحف\nنجسمات سيارات و طيارات و قطارات\nمنحدر بلاستيك كبير ووسط\nقطار فك وتركيب وسط وكبير وقطار الحروف و قطار الارقام\nوبازل تقطيع الخضروات\n\nللتواصل واتس اب 01001444798\nجمله وقطاعي\nلمشاهدة المنتجات\nhttps://safwatoys.com/…/%D8%A7%D9%84%D9%85%D8%AC%D8%B3%D9%8…","الصفوة لتنمية المهارات"
"27","المجموعات الضمنية هامة جدا لتعليم وزيادة الحصيلة اللغوية لدى الطفل،\nكما أنها تساعد على ربط شكل الشئ بمسماه لدى الطفل والتعرف على مواصفاته ،\nوهي تساعده على التركيز من خلال وضع بعض الصور أمامه وطلب صورة معينة منه ،\nوهي تساعده على الانتباه لأن شكلها وحجمها ولونها جذاب بالنسبة له وملفت للنظر.\nيستخدم المجموعات الضمنية الأمهات مع أطفالهم\nكما يستخدمها الأخصائيين مثل أخصائيين التخاطب وأخصائيين تنمية المهارات\nوتستخدم في الحضانات ومراكز ذوي الاحتياجات الخاصة\nفهي لا غنى عنها في العملية التعليمية للطفل\nوهي تشمل (الخضروات- الفواكه- الحيوانات الأليفة- الحيوانات البرية- الطيور- الزواحف- الحشرات- البحريات- الأشجار- الزهور- جسم الانسان- الملابس- المهن- المواصلات- مراحل النمو- الأمومة- الأفعال-الافاعال المسلسله- المذكر والمؤنث- أدوات المائدة- أدوات النظافة- الأدوات الكهربائية- العلاقات- المعكوسات- مالاختلاف-مالخطا-من لاينتمي..............)\nللتواصل واتس اب 01001444798\nلمشاهدة المجموعه كامله وطلبات ىالشراء اضغط الرابط\nhttps://safwatoys.com/%D9%85%D8%AC%D9%85%D9%88%D8%B9%D8%A7%…","الصفوة لتنمية المهارات"
"28","متاح الان بشركة الصفوة لتنمية المهارات مجموعة كبيره من العاب تنمية المهارات و مونتسوري و العاب البيبي و الميكانو و العاب الفك و التركيب و عدادات اليوسي ماث\n\nخصم ٣٠ ٪؜ على اي قطعه\nمع خصومات خاصه لعملاء الجمله\n\nالموقع الالكتروني www.safwatoys.com\n\nللتواصل واتس آب 01001444798\nاو الاتصال على 026786398\nلمتابعة قناة التليجرام\nhttps://t.me/safwatoys2020","الصفوة لتنمية المهارات"
"29","خصم 30 % على جميع العاب تنمية المهارات و ادوات مونتسوري والمجموعات الضمنية والعاب الفك والتركيب و الليجو و الالعاب الجماعيه لمعرفة الأسعار و للطلبات\n\nhttp://safwatoys.com/index.php…\n\nلمتابعة قناة التليجرام https://t.me/safwatoys2020\n\nلزيارة قاعة العرض\nمصر الجديدة : امتداد شارع الثورة منطقة الماظه بجوار مستشفى الكهرباء والمستشفى الوطني للعيون عماره رقم 42\nشارع الشهيد علي توفيق\n\nالمواعيد من السبت إلى الخميس من 10 ص الى 5 م\nرقم الشركه 0226786399","الصفوة لتنمية المهارات"
"30","متاح الان بشركة الصفوة لتنمية المهارات مجموعة كبيره من العاب تنمية المهارات و مونتسوري و العاب البيبي و الميكانو و العاب الفك و التركيب و عدادات اليوسي ماث\n\nخصم ٣٠ ٪؜ على اي قطعه\nمع خصومات خاصه لعملاء الجمله\n\nللتواصل واتس آب 01001444798\nاو الاتصال على 026786398\nلمتابعة قناة التليجرام\nhttps://t.me/safwatoys2020","‎الصفوة لتنمية المهارات‎ is with Mrmr Micheal and Marly Amgad."
"31","متاح الان بشركة الصفوة لتنمية المهارات مجموعة كبيره من العاب تنمية المهارات و مونتسوري و العاب البيبي و الميكانو و العاب الفك و التركيب و عدادات اليوسي ماث\n\nخصم ٣٠ ٪؜ على اي قطعه\nمع خصومات خاصه لعملاء الجمله\n\nللتواصل واتس آب 01001444798\nاو الاتصال على 026786398\nلمتابعة قناة التليجرام\nhttps://t.me/safwatoys2020","الصفوة لتنمية المهارات"
"32","متاح الان بشركة الصفوة لتنمية المهارات مجموعة كبيره من العاب تنمية المهارات و مونتسوري و العاب البيبي و الميكانو و العاب الفك و التركيب و عدادات اليوسي ماث\n\nخصم ٣٠ ٪؜ على اي قطعه\nمع خصومات خاصه لعملاء الجمله\n\nللتواصل واتس آب 01001444798\nاو الاتصال على 026786398\nلمتابعة قناة التليجرام\nhttps://t.me/safwatoys2020","الصفوة لتنمية المهارات"
"33","متاح الان بشركة الصفوة لتنمية المهارات مجموعة كبيره من العاب تنمية المهارات و مونتسوري و العاب البيبي و الميكانو و العاب الفك و التركيب و عدادات اليوسي ماث\n\nخصم ٣٠ ٪؜ على اي قطعه\nمع خصومات خاصه لعملاء الجمله\n\nللتواصل واتس آب 01001444798\nاو الاتصال على 026786398\nلمتابعة قناة التليجرام\nhttps://t.me/safwatoys2020","الصفوة لتنمية المهارات"
"34","متاح الان بشركة الصفوة لتنمية المهارات\n\nخصم ٣٠ ٪؜ على اي قطعه\nمع خصومات خاصه لعملاء الجمله\n\nللتواصل واتس آب 01001444798\nاو الاتصال على 026786398\nلمتابعة قناة التليجرام\nhttps://t.me/safwatoys2020","الصفوة لتنمية المهارات"
"35","تعتبر مكعبات الليغو من ألعاب الأطفال الأكثر شعبية على مر الزمن وذلك لأنها تعمل على تقوية مهارات الطفل المختلفة بشكل فعال. وهي مناسبة لكل الفئات العمرية\n\nلمشاهدة اكثر من 100 نوع من أنواع الليجو و لمعرفة السعر بعد خصم 30 % و الطلبات اضغط هنا\nhttp://safwatoys.com/index.php…\n\n...\nContinue Reading","الصفوة لتنمية المهارات"
"36","تعتبر مكعبات الليغو من ألعاب الأطفال الأكثر شعبية على مر الزمن وذلك لأنها تعمل على تقوية مهارات الطفل المختلفة بشكل فعال. وهي مناسبة لكل الفئات العمرية\n\nلمشاهدة اكثر من 100 نوع من أنواع الليجو و لمعرفة السعر بعد خصم 30 % و الطلبات اضغط هنا\nhttp://safwatoys.com/index.php…\n\n...\nContinue Reading","الصفوة لتنمية المهارات"
"37","المرح واللعب والنشاط البدني أحد أهم عناصر حياة الطفل الأساسية، لذا نقدم في شركة الصفوة لتنمية المهارات مجموعة جذابة ومتنوعة من ألعاب الساحات و العاب الحدائق\n(indoor & outdoor)\nالبلاستيكية بأعلى درجات السلامة لينعم الأطفال بلعب آمن مما يعزز الاستقلالية ويشجع الطفل على الاستكشاف وينمي القدرات الادراكيه والحركيه\nخصم 40% على جميع الالعاب لمعرفة الأسعار و للطلبات\nhttp://safwatoys.com/index.php…\n\nلمتابعة قناة التليجرام https://t.me/safwatoys2020\n\nلزيارة قاعة العرض\nمصر الجديدة : امتداد شارع الثورة منطقة الماظه بجوار مستشفى الكهرباء والمستشفى الوطني للعيون عماره رقم 42\nشارع الشهيد علي توفيق\n\nالمواعيد من السبت إلى الخميس من 10 ص الى 5 م\nرقم الشركه 0226786399","الصفوة لتنمية المهارات"
"38","","‎الصفوة لتنمية المهارات‎ added 2 new photos to the album: Instagram."
"39","","الصفوة لتنمية المهارات"
"40","","الصفوة لتنمية المهارات"
"41","","الصفوة لتنمية المهارات"
"42","","‎الصفوة لتنمية المهارات‎ updated their status."
"43","كل عام وانتم بخير\nبمناسبة عيد الفطر المبارك\nيتم العمل بالشركه ابتداء من السبت 30 مايو الساعه 10 ص الى 5 م","الصفوة لتنمية المهارات"
